Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
AA,ABI,DFW,DFW-ABI,32.5347,-97.215,32.244,-99.4054
US,ABI,DFW,DFW-ABI,32.5347,-97.215,32.244,-99.4054
9K,ACK,BOS,BOS-ACK,42.2151,-71.018,41.151,-70.336
TJ,ACK,HPN,HPN-ACK,41.41,-73.4227,41.151,-70.336
TJ,ACK,TEB,TEB-ACK,40.5059,-74.339,41.151,-70.336
AA,ACT,DFW,DFW-ACT,32.5347,-97.215,31.364,-97.1349
US,ACT,DFW,DFW-ACT,32.5347,-97.215,31.364,-97.1349
NK,ACY,BOS,BOS-ACY,42.2151,-71.018,39.2727,-74.3437
NK,ACY,DTW,DTW-ACY,42.1244,-83.2112,39.2727,-74.3437
NK,ACY,FLL,FLL-ACY,26.421,-80.99,39.2727,-74.3437
UA,ACY,IAH,IAH-ACY,29.5849,-95.2023,39.2727,-74.3437
NK,ACY,MCO,MCO-ACY,28.2544,-81.1857,39.2727,-74.3437
NK,ACY,MYR,MYR-ACY,33.4047,-78.5542,39.2727,-74.3437
NK,ACY,ORD,ORD-ACY,41.5846,-87.5416,39.2727,-74.3437
UA,ACY,ORD,ORD-ACY,41.5846,-87.5416,39.2727,-74.3437
NK,ACY,RSW,RSW-ACY,26.321,-81.4518,39.2727,-74.3437
NK,ACY,TPA,TPA-ACY,27.5831,-82.3159,39.2727,-74.3437
AF,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
DL,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
KL,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
AA,AEX,DFW,DFW-AEX,32.5347,-97.215,31.1938,-92.3254
US,AEX,DFW,DFW-AEX,32.5347,-97.215,31.1938,-92.3254
UA,AEX,IAH,IAH-AEX,29.5849,-95.2023,31.1938,-92.3254
AF,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
DL,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
KL,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
AA,AGS,CLT,CLT-AGS,35.125,-80.5635,33.2211,-81.5752
US,AGS,CLT,CLT-AGS,35.125,-80.5635,33.2211,-81.5752
AA,AGS,DCA,DCA-AGS,38.517,-77.215,33.2211,-81.5752
US,AGS,DCA,DCA-AGS,38.517,-77.215,33.2211,-81.5752
AF,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
AM,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
DL,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
KL,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
9K,ALB,BOS,BOS-ALB,42.2151,-71.018,42.4453,-73.481
FL,ALB,BWI,BWI-ALB,39.1031,-76.406,42.4453,-73.481
WN,ALB,BWI,BWI-ALB,39.1031,-76.406,42.4453,-73.481
UA,ALB,CLE,CLE-ALB,41.2442,-81.5059,42.4453,-73.481
AA,ALB,CLT,CLT-ALB,35.125,-80.5635,42.4453,-73.481
US,ALB,CLT,CLT-ALB,35.125,-80.5635,42.4453,-73.481
AA,ALB,DCA,DCA-ALB,38.517,-77.215,42.4453,-73.481
US,ALB,DCA,DCA-ALB,38.517,-77.215,42.4453,-73.481
DL,ALB,DTW,DTW-ALB,42.1244,-83.2112,42.4453,-73.481
UA,ALB,EWR,EWR-ALB,40.4132,-74.107,42.4453,-73.481
WN,ALB,FLL,FLL-ALB,26.421,-80.99,42.4453,-73.481
UA,ALB,IAD,IAD-ALB,38.564,-77.272,42.4453,-73.481
WN,ALB,LAS,LAS-ALB,36.449,-115.98,42.4453,-73.481
FL,ALB,MCO,MCO-ALB,28.2544,-81.1857,42.4453,-73.481
WN,ALB,MCO,MCO-ALB,28.2544,-81.1857,42.4453,-73.481
FL,ALB,MDW,MDW-ALB,41.479,-87.458,42.4453,-73.481
WN,ALB,MDW,MDW-ALB,41.479,-87.458,42.4453,-73.481
DL,ALB,MSP,MSP-ALB,44.5249,-93.13,42.4453,-73.481
9K,ALB,MSS,MSS-ALB,44.569,-74.5043,42.4453,-73.481
9K,ALB,OGS,OGS-ALB,44.4055,-75.2756,42.4453,-73.481
UA,ALB,ORD,ORD-ALB,41.5846,-87.5416,42.4453,-73.481
AA,ALB,PHL,PHL-ALB,39.5219,-75.1428,42.4453,-73.481
US,ALB,PHL,PHL-ALB,39.5219,-75.1428,42.4453,-73.481
FL,ALB,TPA,TPA-ALB,27.5831,-82.3159,42.4453,-73.481
WN,ALB,TPA,TPA-ALB,27.5831,-82.3159,42.4453,-73.481
FL,AMA,DAL,DAL-AMA,32.5049,-96.516,35.139,-101.4221
WN,AMA,DAL,DAL-AMA,32.5049,-96.516,35.139,-101.4221
FL,AMA,DEN,DEN-AMA,39.513,-104.401,35.139,-101.4221
UA,AMA,DEN,DEN-AMA,39.513,-104.401,35.139,-101.4221
WN,AMA,DEN,DEN-AMA,39.513,-104.401,35.139,-101.4221
AA,AMA,DFW,DFW-AMA,32.5347,-97.215,35.139,-101.4221
US,AMA,DFW,DFW-AMA,32.5347,-97.215,35.139,-101.4221
UA,AMA,IAH,IAH-AMA,29.5849,-95.2023,35.139,-101.4221
WN,AMA,LAS,LAS-AMA,36.449,-115.98,35.139,-101.4221
UA,AOO,IAD,IAD-AOO,38.564,-77.272,40.1747,-78.1912
AA,ART,ORD,ORD-ART,41.5846,-87.5416,43.593,-76.118
US,ART,ORD,ORD-ART,41.5846,-87.5416,43.593,-76.118
AA,ART,PHL,PHL-ART,39.5219,-75.1428,43.593,-76.118
US,ART,PHL,PHL-ART,39.5219,-75.1428,43.593,-76.118
AF,ATL,AEX,AEX-ATL,31.1938,-92.3254,33.3825,-84.2537
DL,ATL,AEX,AEX-ATL,31.1938,-92.3254,33.3825,-84.2537
KL,ATL,AEX,AEX-ATL,31.1938,-92.3254,33.3825,-84.2537
AF,ATL,AGS,AGS-ATL,33.2211,-81.5752,33.3825,-84.2537
DL,ATL,AGS,AGS-ATL,33.2211,-81.5752,33.3825,-84.2537
KL,ATL,AGS,AGS-ATL,33.2211,-81.5752,33.3825,-84.2537
AF,ATL,ALB,ALB-ATL,42.4453,-73.481,33.3825,-84.2537
AM,ATL,ALB,ALB-ATL,42.4453,-73.481,33.3825,-84.2537
AZ,ATL,ALB,ALB-ATL,42.4453,-73.481,33.3825,-84.2537
DL,ATL,ALB,ALB-ATL,42.4453,-73.481,33.3825,-84.2537
KL,ATL,ALB,ALB-ATL,42.4453,-73.481,33.3825,-84.2537
AF,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
AZ,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
DL,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
FL,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
KL,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
VS,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
WN,ATL,AUS,AUS-ATL,30.114,-97.4011,33.3825,-84.2537
AF,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
AM,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
AZ,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
DL,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
FL,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
KL,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
WN,ATL,BDL,BDL-ATL,41.562,-72.4059,33.3825,-84.2537
AF,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
AS,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
AZ,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
DL,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
KL,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
VS,ATL,BHM,BHM-ATL,33.3346,-86.4512,33.3825,-84.2537
AF,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
AS,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
AZ,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
DL,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
KL,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
VS,ATL,BNA,BNA-ATL,36.728,-86.4041,33.3825,-84.2537
AF,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
AM,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
DL,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
FL,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
KL,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
VS,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
WN,ATL,BOS,BOS-ATL,42.2151,-71.018,33.3825,-84.2537
AF,ATL,BTR,BTR-ATL,30.3159,-91.858,33.3825,-84.2537
DL,ATL,BTR,BTR-ATL,30.3159,-91.858,33.3825,-84.2537
KL,ATL,BTR,BTR-ATL,30.3159,-91.858,33.3825,-84.2537
DL,ATL,BTV,BTV-ATL,44.2818,-73.911,33.3825,-84.2537
KL,ATL,BTV,BTV-ATL,44.2818,-73.911,33.3825,-84.2537
AF,ATL,BUF,BUF-ATL,42.5625,-78.4355,33.3825,-84.2537
AZ,ATL,BUF,BUF-ATL,42.5625,-78.4355,33.3825,-84.2537
DL,ATL,BUF,BUF-ATL,42.5625,-78.4355,33.3825,-84.2537
KL,ATL,BUF,BUF-ATL,42.5625,-78.4355,33.3825,-84.2537
AF,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
AM,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
AZ,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
DL,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
FL,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
KL,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
WN,ATL,BWI,BWI-ATL,39.1031,-76.406,33.3825,-84.2537
AF,ATL,CAE,CAE-ATL,33.5619,-81.71,33.3825,-84.2537
AZ,ATL,CAE,CAE-ATL,33.5619,-81.71,33.3825,-84.2537
DL,ATL,CAE,CAE-ATL,33.5619,-81.71,33.3825,-84.2537
KL,ATL,CAE,CAE-ATL,33.5619,-81.71,33.3825,-84.2537
9E,ATL,CHA,CHA-ATL,35.27,-85.1213,33.3825,-84.2537
AF,ATL,CHA,CHA-ATL,35.27,-85.1213,33.3825,-84.2537
AZ,ATL,CHA,CHA-ATL,35.27,-85.1213,33.3825,-84.2537
DL,ATL,CHA,CHA-ATL,35.27,-85.1213,33.3825,-84.2537
KL,ATL,CHA,CHA-ATL,35.27,-85.1213,33.3825,-84.2537
AF,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
AS,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
AZ,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
DL,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
KL,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
VS,ATL,CHS,CHS-ATL,32.5355,-80.225,33.3825,-84.2537
AF,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
AM,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
AZ,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
DL,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
KL,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
UA,ATL,CLE,CLE-ATL,41.2442,-81.5059,33.3825,-84.2537
AA,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
AF,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
AS,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
AZ,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
DL,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
KL,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
US,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
VS,ATL,CLT,CLT-ATL,35.125,-80.5635,33.3825,-84.2537
AF,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
AM,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
AZ,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
DL,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
FL,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
KL,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
VA,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
WN,ATL,CMH,CMH-ATL,39.5952,-82.533,33.3825,-84.2537
DL,ATL,COS,COS-ATL,38.482,-104.42,33.3825,-84.2537
KL,ATL,COS,COS-ATL,38.482,-104.42,33.3825,-84.2537
9E,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
AF,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
AM,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
AZ,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
DL,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
KL,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
VS,ATL,CVG,CVG-ATL,39.246,-84.3943,33.3825,-84.2537
AF,ATL,DAL,DAL-ATL,32.5049,-96.516,33.3825,-84.2537
DL,ATL,DAL,DAL-ATL,32.5049,-96.516,33.3825,-84.2537
KL,ATL,DAL,DAL-ATL,32.5049,-96.516,33.3825,-84.2537
VS,ATL,DAL,DAL-ATL,32.5049,-96.516,33.3825,-84.2537
AF,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
AZ,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
DL,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
FL,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
KL,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
WN,ATL,DAY,DAY-ATL,39.548,-84.139,33.3825,-84.2537
AF,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
AM,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
AZ,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
DL,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
FL,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
KL,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
WN,ATL,DCA,DCA-ATL,38.517,-77.215,33.3825,-84.2537
AC,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
AF,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
AM,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
AZ,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
DL,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
F9,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
FL,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
KL,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
UA,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
VS,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
WN,ATL,DEN,DEN-ATL,39.513,-104.401,33.3825,-84.2537
AA,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
AF,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
AZ,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
BA,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
DL,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
KL,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
NK,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
QF,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
US,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
VS,ATL,DFW,DFW-ATL,32.5347,-97.215,33.3825,-84.2537
AF,ATL,DHN,DHN-ATL,31.1916,-85.2658,33.3825,-84.2537
DL,ATL,DHN,DHN-ATL,31.1916,-85.2658,33.3825,-84.2537
KL,ATL,DHN,DHN-ATL,31.1916,-85.2658,33.3825,-84.2537
AF,ATL,DSM,DSM-ATL,41.322,-93.3945,33.3825,-84.2537
DL,ATL,DSM,DSM-ATL,41.322,-93.3945,33.3825,-84.2537
KL,ATL,DSM,DSM-ATL,41.322,-93.3945,33.3825,-84.2537
AF,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
AM,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
AZ,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
DL,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
FL,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
KL,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
VS,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
WN,ATL,DTW,DTW-ATL,42.1244,-83.2112,33.3825,-84.2537
AF,ATL,ELP,ELP-ATL,31.4824,-106.224,33.3825,-84.2537
DL,ATL,ELP,ELP-ATL,31.4824,-106.224,33.3825,-84.2537
KL,ATL,ELP,ELP-ATL,31.4824,-106.224,33.3825,-84.2537
AF,ATL,EWN,EWN-ATL,35.422,-77.234,33.3825,-84.2537
DL,ATL,EWN,EWN-ATL,35.422,-77.234,33.3825,-84.2537
KL,ATL,EWN,EWN-ATL,35.422,-77.234,33.3825,-84.2537
AF,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
AM,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
AZ,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
DL,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
KL,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
UA,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
VS,ATL,EWR,EWR-ATL,40.4132,-74.107,33.3825,-84.2537
AF,ATL,EYW,EYW-ATL,24.3322,-81.4534,33.3825,-84.2537
DL,ATL,EYW,EYW-ATL,24.3322,-81.4534,33.3825,-84.2537
KL,ATL,EYW,EYW-ATL,24.3322,-81.4534,33.3825,-84.2537
AF,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
AZ,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
DL,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
FL,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
KL,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
NK,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
VS,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
WN,ATL,FLL,FLL-ATL,26.421,-80.99,33.3825,-84.2537
AF,ATL,FSM,FSM-ATL,35.2011,-94.222,33.3825,-84.2537
DL,ATL,FSM,FSM-ATL,35.2011,-94.222,33.3825,-84.2537
KL,ATL,FSM,FSM-ATL,35.2011,-94.222,33.3825,-84.2537
AF,ATL,GNV,GNV-ATL,29.4124,-82.1618,33.3825,-84.2537
AZ,ATL,GNV,GNV-ATL,29.4124,-82.1618,33.3825,-84.2537
DL,ATL,GNV,GNV-ATL,29.4124,-82.1618,33.3825,-84.2537
KL,ATL,GNV,GNV-ATL,29.4124,-82.1618,33.3825,-84.2537
AF,ATL,GRB,GRB-ATL,44.296,-88.746,33.3825,-84.2537
DL,ATL,GRB,GRB-ATL,44.296,-88.746,33.3825,-84.2537
KL,ATL,GRB,GRB-ATL,44.296,-88.746,33.3825,-84.2537
AF,ATL,GRK,GRK-ATL,31.42,-97.4944,33.3825,-84.2537
DL,ATL,GRK,GRK-ATL,31.42,-97.4944,33.3825,-84.2537
KL,ATL,GRK,GRK-ATL,31.42,-97.4944,33.3825,-84.2537
AF,ATL,GRR,GRR-ATL,42.5251,-85.3122,33.3825,-84.2537
DL,ATL,GRR,GRR-ATL,42.5251,-85.3122,33.3825,-84.2537
KL,ATL,GRR,GRR-ATL,42.5251,-85.3122,33.3825,-84.2537
AZ,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
DL,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
FL,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
KL,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
VS,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
WN,ATL,HOU,HOU-ATL,29.3843,-95.1644,33.3825,-84.2537
AF,ATL,HPN,HPN-ATL,41.41,-73.4227,33.3825,-84.2537
DL,ATL,HPN,HPN-ATL,41.41,-73.4227,33.3825,-84.2537
KL,ATL,HPN,HPN-ATL,41.41,-73.4227,33.3825,-84.2537
AF,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
AM,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
AZ,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
DL,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
KL,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
LH,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
NH,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
UA,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
VS,ATL,IAD,IAD-ATL,38.564,-77.272,33.3825,-84.2537
AF,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
AZ,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
CA,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
CI,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
DL,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
KL,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
UA,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
VA,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
VS,ATL,IAH,IAH-ATL,29.5849,-95.2023,33.3825,-84.2537
AF,ATL,ICT,ICT-ATL,37.3859,-97.2559,33.3825,-84.2537
AZ,ATL,ICT,ICT-ATL,37.3859,-97.2559,33.3825,-84.2537
DL,ATL,ICT,ICT-ATL,37.3859,-97.2559,33.3825,-84.2537
KL,ATL,ICT,ICT-ATL,37.3859,-97.2559,33.3825,-84.2537
AF,ATL,ILM,ILM-ATL,34.1614,-77.549,33.3825,-84.2537
AZ,ATL,ILM,ILM-ATL,34.1614,-77.549,33.3825,-84.2537
DL,ATL,ILM,ILM-ATL,34.1614,-77.549,33.3825,-84.2537
KL,ATL,ILM,ILM-ATL,34.1614,-77.549,33.3825,-84.2537
AF,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
AM,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
AZ,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
DL,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
FL,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
KL,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
VA,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
VS,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
WN,ATL,IND,IND-ATL,39.432,-86.1739,33.3825,-84.2537
AF,ATL,JAN,JAN-ATL,32.184,-90.433,33.3825,-84.2537
AS,ATL,JAN,JAN-ATL,32.184,-90.433,33.3825,-84.2537
AZ,ATL,JAN,JAN-ATL,32.184,-90.433,33.3825,-84.2537
DL,ATL,JAN,JAN-ATL,32.184,-90.433,33.3825,-84.2537
KL,ATL,JAN,JAN-ATL,32.184,-90.433,33.3825,-84.2537
AF,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
AM,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
AS,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
AZ,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
DL,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
FL,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
KL,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
VS,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
WN,ATL,JAX,JAX-ATL,30.2938,-81.4116,33.3825,-84.2537
AF,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
AM,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
AZ,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
DL,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
KL,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
SU,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
VS,ATL,JFK,JFK-ATL,40.3823,-73.4644,33.3825,-84.2537
9E,ATL,LAN,LAN-ATL,42.4643,-84.3514,33.3825,-84.2537
DL,ATL,LAN,LAN-ATL,42.4643,-84.3514,33.3825,-84.2537
AF,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
AZ,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
DL,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
FL,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
KL,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
VS,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
WN,ATL,LAS,LAS-ATL,36.449,-115.98,33.3825,-84.2537
AF,ATL,LAX,LAX-ATL,33.5633,-118.2429,33.3825,-84.2537
AS,ATL,LAX,LAX-ATL,33.5633,-118.2429,33.3825,-84.2537
CI,ATL,LAX,LAX-ATL,33.5633,-118.2429,33.3825,-84.2537
DL,ATL,LAX,LAX-ATL,33.5633,-118.2429,33.3825,-84.2537
