Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
B6,SAN,JFK,JFK-SAN,40.3823,-73.4644,32.44,-117.1122
B6,SAV,BOS,BOS-SAV,42.2151,-71.018,32.739,-81.127
B6,SAV,JFK,JFK-SAV,40.3823,-73.4644,32.739,-81.127
B6,SEA,BOS,BOS-SEA,42.2151,-71.018,47.2656,-122.1833
B6,SEA,JFK,JFK-SEA,40.3823,-73.4644,47.2656,-122.1833
B6,SEA,LGB,LGB-SEA,33.493,-118.95,47.2656,-122.1833
B6,SFO,AUS,AUS-SFO,30.114,-97.4011,37.378,-122.2229
B6,SFO,BOS,BOS-SFO,42.2151,-71.018,37.378,-122.2229
B6,SFO,FLL,FLL-SFO,26.421,-80.99,37.378,-122.2229
B6,SFO,JFK,JFK-SFO,40.3823,-73.4644,37.378,-122.2229
B6,SFO,LGB,LGB-SFO,33.493,-118.95,37.378,-122.2229
B6,SJC,BOS,BOS-SJC,42.2151,-71.018,37.2142,-121.5544
B6,SJC,JFK,JFK-SJC,40.3823,-73.4644,37.2142,-121.5544
B6,SLC,JFK,JFK-SLC,40.3823,-73.4644,40.4718,-111.5839
B6,SLC,LGB,LGB-SLC,33.493,-118.95,40.4718,-111.5839
B6,SMF,JFK,JFK-SMF,40.3823,-73.4644,38.4143,-121.3526
B6,SMF,LGB,LGB-SMF,33.493,-118.95,38.4143,-121.3526
B6,SWF,FLL,FLL-SWF,26.421,-80.99,41.3014,-74.617
B6,SWF,MCO,MCO-SWF,28.2544,-81.1857,41.3014,-74.617
B6,SYR,JFK,JFK-SYR,40.3823,-73.4644,43.64,-76.622
B6,SYR,MCO,MCO-SYR,28.2544,-81.1857,43.64,-76.622
B6,TPA,BDL,BDL-TPA,41.562,-72.4059,27.5831,-82.3159
B6,TPA,BOS,BOS-TPA,42.2151,-71.018,27.5831,-82.3159
B6,TPA,DCA,DCA-TPA,38.517,-77.215,27.5831,-82.3159
B6,TPA,EWR,EWR-TPA,40.4132,-74.107,27.5831,-82.3159
B6,TPA,HPN,HPN-TPA,41.41,-73.4227,27.5831,-82.3159
B6,TPA,JFK,JFK-TPA,40.3823,-73.4644,27.5831,-82.3159
B6,TPA,LGA,LGA-TPA,40.4638,-73.5221,27.5831,-82.3159
BA,DFW,ATL,ATL-DFW,33.3825,-84.2537,32.5347,-97.215
BA,DFW,MSY,MSY-DFW,29.5936,-90.1528,32.5347,-97.215
BA,MIA,ATL,ATL-MIA,33.3825,-84.2537,25.4735,-80.1726
BA,MIA,MSY,MSY-MIA,29.5936,-90.1528,25.4735,-80.1726
BA,MSY,DFW,DFW-MSY,32.5347,-97.215,29.5936,-90.1528
BA,MSY,MIA,MIA-MSY,25.4735,-80.1726,29.5936,-90.1528
BA,MSY,ORD,ORD-MSY,41.5846,-87.5416,29.5936,-90.1528
BA,ORD,ATL,ATL-ORD,33.3825,-84.2537,41.5846,-87.5416
BA,ORD,MSY,MSY-ORD,29.5936,-90.1528,41.5846,-87.5416
CA,IAH,ATL,ATL-IAH,33.3825,-84.2537,29.5849,-95.2023
CI,DFW,ATL,ATL-DFW,33.3825,-84.2537,32.5347,-97.215
CI,LAX,ATL,ATL-LAX,33.3825,-84.2537,33.5633,-118.2429
CI,LAX,MSY,MSY-LAX,29.5936,-90.1528,33.5633,-118.2429
CI,MSY,LAX,LAX-MSY,33.5633,-118.2429,29.5936,-90.1528
CI,SFO,ATL,ATL-SFO,33.3825,-84.2537,37.378,-122.2229
CM,IAH,SEA,SEA-IAH,47.2656,-122.1833,29.5849,-95.2023
CM,SFO,IAH,IAH-SFO,29.5849,-95.2023,37.378,-122.2229
CX,DFW,MSY,MSY-DFW,29.5936,-90.1528,32.5347,-97.215
CX,ORD,ATL,ATL-ORD,33.3825,-84.2537,41.5846,-87.5416
DL,BOS,LAS,LAS-BOS,36.449,-115.98,42.2151,-71.018
DL,BOS,LAX,LAX-BOS,33.5633,-118.2429,42.2151,-71.018
DL,BOS,LGA,LGA-BOS,40.4638,-73.5221,42.2151,-71.018
DL,BOS,MCO,MCO-BOS,28.2544,-81.1857,42.2151,-71.018
DL,BOS,MSP,MSP-BOS,44.5249,-93.13,42.2151,-71.018
DL,BOS,MYR,MYR-BOS,33.4047,-78.5542,42.2151,-71.018
DL,BOS,RDU,RDU-BOS,35.5239,-78.4714,42.2151,-71.018
DL,BOS,RIC,RIC-BOS,37.3018,-77.191,42.2151,-71.018
DL,BOS,SLC,SLC-BOS,40.4718,-111.5839,42.2151,-71.018
DL,BTR,ATL,ATL-BTR,33.3825,-84.2537,30.3159,-91.858
DL,BTV,ATL,ATL-BTV,33.3825,-84.2537,44.2818,-73.911
DL,BTV,DTW,DTW-BTV,42.1244,-83.2112,44.2818,-73.911
DL,BTV,LGA,LGA-BTV,40.4638,-73.5221,44.2818,-73.911
DL,BUF,ATL,ATL-BUF,33.3825,-84.2537,42.5625,-78.4355
DL,BUF,DTW,DTW-BUF,42.1244,-83.2112,42.5625,-78.4355
DL,BUF,JFK,JFK-BUF,40.3823,-73.4644,42.5625,-78.4355
DL,BUF,LGA,LGA-BUF,40.4638,-73.5221,42.5625,-78.4355
DL,BUF,MSP,MSP-BUF,44.5249,-93.13,42.5625,-78.4355
DL,BUR,SLC,SLC-BUR,40.4718,-111.5839,34.122,-118.2131
DL,BWI,ATL,ATL-BWI,33.3825,-84.2537,39.1031,-76.406
DL,BWI,CVG,CVG-BWI,39.246,-84.3943,39.1031,-76.406
DL,BWI,DTW,DTW-BWI,42.1244,-83.2112,39.1031,-76.406
DL,BWI,JFK,JFK-BWI,40.3823,-73.4644,39.1031,-76.406
DL,BWI,MSP,MSP-BWI,44.5249,-93.13,39.1031,-76.406
DL,BWI,RDU,RDU-BWI,35.5239,-78.4714,39.1031,-76.406
DL,BWI,SLC,SLC-BWI,40.4718,-111.5839,39.1031,-76.406
DL,CAE,ATL,ATL-CAE,33.3825,-84.2537,33.5619,-81.71
DL,CAE,DTW,DTW-CAE,42.1244,-83.2112,33.5619,-81.71
DL,CAE,LGA,LGA-CAE,40.4638,-73.5221,33.5619,-81.71
DL,CDC,SLC,SLC-CDC,40.4718,-111.5839,37.423,-113.555
DL,CHA,ATL,ATL-CHA,33.3825,-84.2537,35.27,-85.1213
DL,CHA,DTW,DTW-CHA,42.1244,-83.2112,35.27,-85.1213
DL,CHS,ATL,ATL-CHS,33.3825,-84.2537,32.5355,-80.225
DL,CHS,BOS,BOS-CHS,42.2151,-71.018,32.5355,-80.225
DL,CHS,DTW,DTW-CHS,42.1244,-83.2112,32.5355,-80.225
DL,CHS,JFK,JFK-CHS,40.3823,-73.4644,32.5355,-80.225
DL,CHS,LGA,LGA-CHS,40.4638,-73.5221,32.5355,-80.225
DL,CLE,ATL,ATL-CLE,33.3825,-84.2537,41.2442,-81.5059
DL,CLE,DTW,DTW-CLE,42.1244,-83.2112,41.2442,-81.5059
DL,CLE,JFK,JFK-CLE,40.3823,-73.4644,41.2442,-81.5059
DL,CLE,LGA,LGA-CLE,40.4638,-73.5221,41.2442,-81.5059
DL,CLE,MSP,MSP-CLE,44.5249,-93.13,41.2442,-81.5059
DL,CLT,ATL,ATL-CLT,33.3825,-84.2537,35.125,-80.5635
DL,CLT,CVG,CVG-CLT,39.246,-84.3943,35.125,-80.5635
DL,CLT,DTW,DTW-CLT,42.1244,-83.2112,35.125,-80.5635
DL,CLT,JFK,JFK-CLT,40.3823,-73.4644,35.125,-80.5635
DL,CLT,LGA,LGA-CLT,40.4638,-73.5221,35.125,-80.5635
DL,CLT,MSP,MSP-CLT,44.5249,-93.13,35.125,-80.5635
DL,CLT,SLC,SLC-CLT,40.4718,-111.5839,35.125,-80.5635
